month,mother_age,child_gender,mother_race,birth_count
2020-09,20  -  24,F,CHINESE,21
2020-09,20  -  24,M,CHINESE,23
2020-09,20  -  24,F,INDIANS,10
2020-09,20  -  24,M,INDIANS,11
2020-09,20  -  24,F,MALAYS,33
2020-09,20  -  24,M,MALAYS,37
2020-09,20  -  24,F,OTHERS,4
2020-09,20  -  24,M,OTHERS,6
2020-09,25  -  29,F,CHINESE,170
2020-09,25  -  29,M,CHINESE,202
2020-09,25  -  29,F,INDIANS,56
2020-09,25  -  29,M,INDIANS,46
2020-09,25  -  29,F,MALAYS,147
2020-09,25  -  29,M,MALAYS,110
2020-09,25  -  29,F,OTHERS,42
2020-09,25  -  29,M,OTHERS,45
2020-09,30  -  34,F,CHINESE,418
2020-09,30  -  34,M,CHINESE,433
2020-09,30  -  34,F,INDIANS,79
2020-09,30  -  34,M,INDIANS,78
2020-09,30  -  34,F,MALAYS,84
2020-09,30  -  34,M,MALAYS,131
2020-09,30  -  34,F,OTHERS,89
2020-09,30  -  34,M,OTHERS,85
2020-09,35  -  39,F,CHINESE,242
2020-09,35  -  39,M,CHINESE,267
2020-09,35  -  39,F,INDIANS,34
2020-09,35  -  39,M,INDIANS,48
2020-09,35  -  39,F,MALAYS,56
2020-09,35  -  39,M,MALAYS,46
2020-09,35  -  39,F,OTHERS,66
2020-09,35  -  39,M,OTHERS,56
2020-09,40  -  44,F,CHINESE,34
2020-09,40  -  44,M,CHINESE,69
2020-09,40  -  44,F,INDIANS,5
2020-09,40  -  44,M,INDIANS,3
2020-09,40  -  44,F,MALAYS,13
2020-09,40  -  44,M,MALAYS,9
2020-09,40  -  44,F,OTHERS,10
2020-09,40  -  44,M,OTHERS,7
2020-09,45  -  49,F,CHINESE,3
2020-09,45  -  49,M,CHINESE,1
2020-09,45  -  49,F,INDIANS,1
2020-09,45  -  49,M,INDIANS,2
2020-09,45  -  49,M,MALAYS,2
2020-09,45  -  49,F,OTHERS,1
2020-09,45  -  49,M,OTHERS,3
2020-10,15  -  19,F,CHINESE,2
2020-10,15  -  19,M,CHINESE,4
2020-10,15  -  19,F,INDIANS,1
2020-10,15  -  19,M,INDIANS,1
2020-10,15  -  19,F,MALAYS,1
2020-10,15  -  19,M,MALAYS,4
2020-10,15  -  19,F,OTHERS,1
2020-10,15  -  19,M,OTHERS,2
2020-10,20  -  24,F,CHINESE,22
2020-10,20  -  24,M,CHINESE,23
2020-10,20  -  24,F,INDIANS,11
2020-10,20  -  24,M,INDIANS,9
